epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,24860.5,0.56665,0.37752,0.93537,0.98532,0.98049,0.99267,0.92974,0.39737,0.22552,0.82628,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,25552.7,0.55601,0.36415,0.92843,0.9853,0.97859,0.99131,0.93085,0.39348,0.22284,0.82341,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,26262.2,0.54985,0.36175,0.9256,0.98512,0.9804,0.99193,0.93028,0.39461,0.22083,0.82309,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,26972.6,0.54626,0.35667,0.92398,0.98277,0.98218,0.9918,0.93098,0.39331,0.21835,0.82253,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,27679.5,0.5423,0.35256,0.92418,0.98345,0.97854,0.99237,0.93334,0.39248,0.21637,0.82306,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,28375.5,0.53896,0.34788,0.92135,0.98303,0.9825,0.99273,0.93467,0.38868,0.21441,0.82051,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,29092.5,0.53351,0.34358,0.91856,0.98376,0.983,0.99304,0.93603,0.38583,0.21157,0.81933,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,29806.1,0.52823,0.34082,0.91711,0.98448,0.98393,0.99309,0.93636,0.38378,0.20878,0.81772,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,30513.2,0.52674,0.33769,0.91732,0.98198,0.98486,0.99298,0.93727,0.38345,0.20828,0.81817,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,31208.6,0.43666,0.25997,0.84897,0.98265,0.98617,0.99298,0.9374,0.38382,0.21007,0.81897,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,31907.3,0.43029,0.25174,0.84399,0.9802,0.98604,0.9929,0.93843,0.38254,0.21016,0.81783,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,32602,0.42451,0.24787,0.84104,0.9833,0.98375,0.99295,0.93853,0.38167,0.2074,0.81621,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,33296.1,0.41639,0.24047,0.83932,0.98475,0.98266,0.9931,0.93876,0.38104,0.20676,0.81498,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,33987.5,0.41021,0.23623,0.83629,0.97923,0.98772,0.9931,0.93864,0.3792,0.20563,0.8143,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,34679.9,0.40476,0.23128,0.83508,0.97849,0.98851,0.99309,0.93889,0.37754,0.20478,0.81362,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,35376.4,0.40005,0.22738,0.83255,0.97882,0.98728,0.99299,0.93933,0.37681,0.20363,0.81267,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,36066.5,0.39081,0.22054,0.83137,0.98246,0.98534,0.99299,0.94058,0.37558,0.20178,0.81191,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,36754.4,0.38989,0.21854,0.83244,0.98234,0.98615,0.99291,0.94126,0.37485,0.20131,0.8124,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,37448.9,0.38467,0.2139,0.82952,0.98158,0.98622,0.99289,0.94105,0.37423,0.20134,0.81256,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
